datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2013-03-22,12666.845703125,91969.35755309982,341.9000000000017,104636.20325622482,0.0009657088878176623,1.0463620325622458,0.0003549118041992205
2013-03-25,12613.926696777344,91969.35755309982,341.9000000000017,104583.28424987716,-0.0005057427993452324,1.0458328424987693,0.0008841018676757351
2013-03-26,12714.872741699219,91969.35755309982,341.9000000000017,104684.23029479904,0.0009652215996649449,1.046842302947988,0.0
2013-03-27,12714.872741699219,91969.35755309982,341.9000000000017,104684.23029479904,0.0,1.046842302947988,0.0
2013-03-28,12753.950500488281,91969.35755309982,341.9000000000017,104723.3080535881,0.00037329174297795475,1.0472330805358785,0.0
2013-04-01,12703.472137451172,91969.35755309982,341.9000000000017,104672.82969055099,-0.00048201650592705203,1.0467282969055074,0.0005047836303710973
2013-04-02,12766.158294677734,91969.35755309982,341.9000000000017,104735.51584777755,0.0005988770668747811,1.047355158477773,0.0
2013-04-03,12636.720275878906,91969.35755309982,341.9000000000017,104606.07782897873,-0.001235856029839555,1.0460607782897846,0.001294380187988331
2013-04-04,12688.005828857422,91969.35755309982,341.9000000000017,104657.36338195724,0.000490273166176447,1.0465736338195697,0.0007815246582032476
2013-04-05,12631.02798461914,91969.35755309982,341.9000000000017,104600.38553771896,-0.000544422698958491,1.0460038553771869,0.0013513031005860654
2013-04-08,12716.500091552734,91969.35755309982,341.9000000000017,104685.85764465255,0.0008171299416748212,1.0468585764465228,0.0004965820312501368
2013-04-09,12760.459899902344,91969.35755309982,341.9000000000017,104729.81745300216,0.0004199211750151033,1.047298174530019,5.6983947753996844e-05
2013-04-10,12916.755676269531,91969.35755309982,341.9000000000017,104886.11322936935,0.0014923713243109038,1.0488611322936907,0.0
2013-04-11,12959.085083007812,91969.35755309982,341.9000000000017,104928.44263610763,0.00040357493890263996,1.0492844263610734,0.0
2013-04-12,12927.340698242188,91969.35755309982,341.9000000000017,104896.69825134201,-0.000302533650248793,1.0489669825134171,0.00031744384765630684
2013-04-15,12627.767944335938,91969.35755309982,341.9000000000017,104597.12549743576,-0.002855883539713,1.0459712549743547,0.0033131713867187162
2013-04-16,12814.186096191406,91969.35755309982,341.9000000000017,104783.54364929123,0.0017822492823671432,1.0478354364929094,0.0014489898681639968
2013-04-17,12626.951599121094,91969.35755309982,341.9000000000017,104596.30915222091,-0.0017868692978830758,1.0459630915222065,0.003321334838866985
2013-04-18,12547.988891601562,91969.35755309982,341.9000000000017,104517.34644470138,-0.0007549282394335721,1.0451734644470112,0.004110961914062239
2013-04-19,12657.075500488281,91969.35755309982,341.9000000000017,104626.4330535881,0.001043717742532202,1.0462643305358783,0.003020095825195135
2013-04-22,12713.248443603516,91969.35755309982,341.9000000000017,104682.60599670334,0.0005368905493170484,1.0468260599670305,0.0024583663940429545
2013-04-23,12844.305419921875,91969.35755309982,341.9000000000017,104813.6629730217,0.0012519460618174438,1.0481366297302142,0.001147796630859288
2013-04-24,12852.449035644531,91969.35755309982,341.9000000000017,104821.80658874435,7.769612750530008e-05,1.0482180658874407,0.0010663604736327326
2013-04-25,12904.550170898438,91969.35755309982,341.9000000000017,104873.90772399826,0.0004970448129970606,1.0487390772399798,0.0005453491210936079
2013-04-26,12881.755065917969,91969.35755309982,341.9000000000017,104851.11261901779,-0.00021735725763605274,1.0485111261901752,0.0007733001708982723
2013-04-29,12968.048095703125,91969.35755309982,341.9000000000017,104937.40564880295,0.0008230053800069026,1.0493740564880267,0.0
